Date,Price,Open,High,Low,Vol.,Change %
05/23/2023,27,26.45,27,26.25,59.00M,2.08%
05/22/2023,26.45,26,26.45,25.05,53.43M,1.73%
05/19/2023,26,25,26,24.9,57.85M,4.00%
05/18/2023,25,25.15,25,24.9,29.06M,-0.60%
05/17/2023,25.15,24.5,25.35,24.5,31.70M,2.65%
05/16/2023,24.5,24.15,24.6,24.15,57.39M,1.45%
05/15/2023,24.15,24,24.15,23.85,18.79M,0.62%
05/12/2023,24,23.9,24,23.8,10.41M,0.42%
05/11/2023,23.9,24.4,24.45,23.65,16.79M,-2.05%
05/10/2023,24.4,24.5,24.45,24.1,24.48M,-0.41%
05/09/2023,24.5,24.4,24.5,24.3,42.75M,0.41%
05/08/2023,24.4,24.05,24.4,24,8.67M,1.46%
05/05/2023,24.05,24,24.1,23.9,33.16M,0.21%
05/04/2023,24,24,24.1,23.8,24.90M,0.00%
05/03/2023,24,23.5,24.05,23.6,15.27M,2.13%
05/02/2023,23.5,22.8,23.5,22.8,12.14M,3.07%
04/28/2023,22.8,22.8,22.95,22.55,15.28M,0.00%
04/27/2023,22.8,22.55,22.9,22.5,16.87M,1.11%
04/26/2023,22.55,22.05,22.55,22.05,13.07M,2.27%
04/25/2023,22.05,21.95,22.6,22,27.55M,0.46%
04/20/2023,21.95,21.85,22,21.85,18.11M,0.46%
04/19/2023,21.85,21.8,21.85,21.7,16.48M,0.23%
04/18/2023,21.8,22,21.9,21.8,12.16M,-0.91%
04/17/2023,22,22.1,22,21.8,13.37M,-12.00%
04/14/2023,25,25.05,25.2,24.95,18.17M,-0.20%
04/13/2023,25.05,25.5,25.5,25.05,20.61M,-1.76%
04/12/2023,25.5,25.5,25.5,25.4,11.38M,0.00%
04/11/2023,25.5,25.5,25.55,25.4,44.46M,0.00%
04/06/2023,25.5,25.5,25.55,25.4,19.11M,0.00%
04/05/2023,25.5,25.15,25.5,25.15,15.86M,1.39%
04/04/2023,25.15,25.8,25.8,25,14.73M,-2.52%
04/03/2023,25.8,25.85,25.9,25.8,8.16M,-0.19%
03/31/2023,25.85,25.9,25.9,25.8,5.37M,-0.19%
03/30/2023,25.9,25.7,26,25.8,14.04M,0.78%
03/29/2023,25.7,25.45,26,25.2,27.09M,2.80%
03/28/2023,25,25,25.1,25,10.20M,0.00%
03/27/2023,25,24.95,25.05,25,11.92M,0.20%
03/24/2023,24.95,25.1,25.05,24.8,5.08M,-0.60%
03/23/2023,25.1,25.05,25.1,25.05,7.90M,0.20%
03/22/2023,25.05,25.1,25.5,25.05,6.09M,-0.20%
03/21/2023,25.1,24.75,25.4,24.7,11.96M,1.41%
03/20/2023,24.75,24.6,24.95,24.7,9.86M,0.61%
03/17/2023,24.6,24.45,24.65,24.4,9.49M,0.61%
03/16/2023,24.45,23.85,24.5,23.65,14.72M,2.52%
03/15/2023,23.85,25,25,23.85,18.56M,-4.60%
03/14/2023,25,25,25,24.9,16.51M,0.00%
03/13/2023,25,25.8,25.8,25,14.83M,-3.10%
03/10/2023,25.8,26,26,25.8,13.22M,-0.77%
03/09/2023,26,26,26,25.85,18.49M,0.00%
03/08/2023,26,25.95,26,26,6.26M,0.19%
03/07/2023,25.95,26.3,26.35,25.85,13.26M,-1.33%
03/06/2023,26.3,26.6,26.45,26.3,4.77M,-1.13%
03/03/2023,26.6,26.4,26.65,26.25,17.40M,0.76%
03/02/2023,26.4,26.65,26.7,26.1,9.28M,-0.94%
03/01/2023,26.65,26.5,27,26.5,12.49M,0.57%
02/28/2023,26.5,25.95,27,26,34.25M,2.12%
02/27/2023,25.95,25.75,26,25.65,7.95M,0.78%
02/24/2023,25.75,25.35,25.75,25.35,8.13M,1.58%
02/23/2023,25.35,25.2,25.4,25.3,11.53M,0.60%
02/22/2023,25.2,25,25.2,25,13.00M,0.80%
02/21/2023,25,25,25.1,24.9,15.04M,0.00%
02/20/2023,25,25,25.2,24.95,30.27M,0.00%
02/17/2023,25,25.5,25.5,25,16.89M,-1.96%
02/16/2023,25.5,25.35,25.5,25.35,8.44M,0.59%
02/15/2023,25.35,25.3,25.35,25.15,4.96M,0.20%
02/14/2023,25.3,25.65,25.4,25.3,5.05M,-1.36%
02/13/2023,25.65,25.2,25.65,25.1,12.60M,1.79%
02/10/2023,25.2,25.1,25.2,25.1,6.87M,0.40%
02/09/2023,25.1,25.2,25.25,25.1,5.41M,-0.40%
02/08/2023,25.2,25,25.2,24.95,6.12M,0.80%
02/07/2023,25,25.1,25.1,25,14.67M,-0.40%
02/06/2023,25.1,25.2,25.15,25,18.02M,-0.40%
02/03/2023,25.2,25.1,25.2,25,7.98M,0.40%
02/02/2023,25.1,25.5,25.3,25.1,9.26M,-1.57%
02/01/2023,25.5,25,25.5,25,7.29M,2.00%
01/31/2023,25,25.1,25.8,25,12.52M,-0.40%
01/30/2023,25.1,24.9,25.6,24.75,36.76M,0.80%
01/27/2023,24.9,24.7,24.9,24.8,3.91M,0.81%
01/26/2023,24.7,24.5,24.7,24.55,5.78M,0.82%
01/25/2023,24.5,24.5,24.55,24.5,4.77M,0.00%
01/24/2023,24.5,24.6,24.55,24.5,10.89M,-0.41%
01/23/2023,24.6,24.45,24.6,24.5,9.92M,0.61%
01/20/2023,24.45,24.5,24.6,24.4,6.98M,-0.20%
01/19/2023,24.5,24.55,24.85,24.5,18.55M,-0.20%
01/18/2023,24.55,24.6,24.7,24.5,16.92M,-0.20%
01/17/2023,24.6,24.6,24.6,24.25,11.32M,0.00%
01/16/2023,24.6,25.55,25.5,24.6,13.52M,-3.72%
01/13/2023,25.55,25.1,25.7,25,20.31M,1.79%
01/12/2023,25.1,24.4,25.1,24.5,11.78M,2.87%
01/11/2023,24.4,24.35,24.4,24.25,9.01M,0.21%
01/10/2023,24.35,24.3,24.5,24.3,25.46M,0.21%
01/09/2023,24.3,24.45,24.5,24.15,8.29M,-0.61%
01/06/2023,24.45,24.55,24.55,24.4,5.12M,-0.41%
01/05/2023,24.55,24.1,24.55,24,6.25M,1.87%
01/04/2023,24.1,24,24.4,23.9,3.96M,0.42%
01/03/2023,24,24,24,23.5,5.43M,0.00%
12/30/2022,24,24.9,24.75,24,4.32M,-3.61%
